Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),21:15,05h 45m,03:00,3.5,INR 450,10 Seats available
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),21:45,05h 30m,03:15,3.5,450,18 Seats available
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Shopuris Travels,Non AC Seater (2+1),21:15,05h 45m,03:00,2.9,525,26 Seats available
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,DESTINY TRAVELS,NON A/C Seater (2+1),22:15,05h 30m,03:45,2.3,445,24 Seats available
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,DESTINY TRAVELS,NON A/C Seater (2+1),23:00,05h 15m,04:15,2.3,INR 488.78,30 Seats available
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Shopuris Travels,Non AC Seater (2+1),23:15,05h 05m,04:20,2.9,525,26 Seats available
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Himalayan Travels,NON AC Seater / Sleeper 2+1,23:40,04h 20m,04:00,1.7,INR 500,11 Seats available
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Yatra Travels,NON AC Seater/ Sleeper (2+1),18:45,04h 15m,23:00,3.4,450,29 Seats available
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Yatra Travels,NON A/C Seater/ Sleeper (2+1),19:30,05h 00m,00:30,3.3,495,30 Seats available
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Yatra Travels,A/C Seater / Sleeper (2+1),20:00,05h 30m,01:30,3.3,350,23 Seats available
